;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
META_1;Land;;;;;;;;;;;;x
COUNT_10; ;;;;;;;;;;;;x
middle_east;Middle East;;;;;;;;;;;;x
east_indies;East Indies;;;;;;;;;;;;x
polynesia;Polynesia;;;;;;;;;;;;x
easter_island;Easter Island;;;;;;;;;;;;x
EVNTNAME1;Placeholder;;;;;;;;;;;;x
EVNTDESC1;Placeholder;;;;;;;;;;;;x
EVNTOPTA1;Placeholder;;;;;;;;;;;;x
EVNTOPTB1;Placeholder;;;;;;;;;;;;x
MODIFIER_MOBILISATION_ECONOMY_IMPACT;Mobilisation Production Impact;Impact de la mobilisation;Mobilisierungseffekt;;Efecto de movilizaci?;;;;;;;;;x;;;;
MODIFIER_MOBILIZATION_IMPACT;Max Mobilization Cap;Impact de la mobilisation;Mobilisationsauswirkung;;;;;;;;;;;x
DOSNT_EXISTS; does exist; n'existe PAS; existiert nicht;;No existe;;;;;;;;;x;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;x;
TRIGMOD_HEADER;Our government reports that we have gained;;;;;;;;;;;;;;
TRIGMODLOST_HEADER;Our government reports that we have lost;;;;;;;;;;;;;;
POLITICS_DECISIONS2;§YYellow§g decisions are generic national choices and §Wwhite§g decisions are historical/flavor.;;;;;;;;;;;;;;
revanchism;§WRevanchism;Revanchisme;Revanchismus;;Revanchismo;;;;;;;;;x;
REVANCHISM_EXPLANATION;§gRevanchism, from the French word for 'revenge', is the yearning for the return of land lost to the nation. In love, war, and peace alike, our people will be willing to make greater sacrifices for the return of our sacred soil.\n§YEvery 5 points of revanchism raises maximum soldier % in a core province by 0.5% and mobilization pool by 0.5%.;;;;;;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W research points.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is the minimum for full research points and 4% is optimal for literacy gain.);$POPTYPE$ donnent §G$VALUE$§W points de recherche.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% de manière optimale);$POPTYPE$ erbringen §G$VALUE$§W Forschungspunkte.\n (§Y$FRACTION$%§W von der Bevölkerung - $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W puntos de investigación.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x;;;
MILITARY_BUILD_NAVY_LABEL;§YTorpedo Attacks§W only hit §RHeavy Ships§W and do not hit §BLight Ships§W;;;;;;;;;;;;x
free_trade_desc;Traders are able to act and transact without interference from the government.\nPOP Promotion Chance Bonus: §G+5%§W;;;;;;;;;;;;x
laissez_faire_desc;Industry is free from government interference.\nPOP Promotion Chance Bonus: §G+10%§W;;;;;;;;;;;;x
colonial_company;Autonomous Dependency;;;;;;;;;;;;x
colonial_company_ruler;Governor;;;;;;;;;;;;x
colonial_trade_company;Autonomous Dependency;;;;;;;;;;;;x
tribal_society;Tribal Society;;;;;;;;;;;;x
tribal_society_ruler;Chieftain;;;;;;;;;;;;x
theocracy;Theocracy;;;;;;;;;;;;x
theocracy_ruler;Emir;;;;;;;;;;;;x
zbankers;Farmers;;;;;;;;;;;;;;
best_asian;Japanese;;;;;;;;;;;;;;
nv_liberty;Liberty\n§WCraftsmen promotion chance: §G+5%\n§WBase max soldier cap: §R4%\n§WSoldier promotion chance: §R-5%;;;;;;;;;;;;;;
democracy_modifier;Democracy;;;;;;;;;;;;;;
democracy_modifier_desc;Being a democracy grants 25% conservative upper house support to pass political and social reforms, 25% liberal upper house support to pass social reforms, and 25% socialist upper house support to pass political reforms.;;;;;;;;;;;;;;
MODIFIER_LAND_ATTACK;Military Score Bonus;;;;;;;;;;;;;;
UV_PERSONALITY;Combat Traits: $VAL$;Personnalit?: $VAL$;Pers?lichkeit: $VAL$;;Personalidad: $VAL$;;;;;;;;;x;;;;
UV_BACKGROUND;Support Traits: $VAL$;Caract?istique : $VAL$;Hintergrund: $VAL$;;Historial: $VAL$;;;;;;;;;x;;;;
UV_PERSONALITY_LABEL;Combat Traits;Personnalit?Pers?lichkeit;;Personalidad;;;;;;;;;x;;;;
UV_BACKGROUND_LABEL;Support Traits;Caract?istique;Hintergrund;;Marco hist?ico;;;;;;;;;x;;;;
MILITARY_PERSONALITY;Support Traits: §Y$NAME$§W;Personnalité : §Y$NAME$§W;Persönlichkeit: §Y$NAME$§W;;Personalidad: §Y$NAME$§W;;;;;;;;;x
MILITARY_BACKGROUND;Combat Traits: §Y$NAME$§W;Caractéristique : §Y$NAME$§W;Hintergrund: §Y$NAME$§W;;Trasfondo: §Y$NAME$§W;;;;;;;;;x
